"Date","Time","Price"
"01 Jan 2015","14 :06 :00","26650"
"01 Jan 2015","16 :03 :00","26635.5"
"02 Jan 2015","14 :06 :00","26575"
"02 Jan 2015","16 :03 :00","26655"
"05 Jan 2015","14 :02 :00","26900"
"05 Jan 2015","16 :04 :00","26775"
"06 Jan 2015","14 :04 :00","27111"
"06 Jan 2015","16 :04 :00","27287"
"07 Jan 2015","14 :03 :00","27186.5"
"07 Jan 2015","16 :02 :00","27192.5"
"08 Jan 2015","14 :06 :00","26845"
"08 Jan 2015","16 :12 :00","26913.5"
"09 Jan 2015","14 :00 :00","26841"
"09 Jan 2015","16 :02 :00","26905"
"12 Jan 2015","14 :02 :00","26999"
"12 Jan 2015","16 :02 :00","26943"
"13 Jan 2015","14 :01 :00","27210"
"13 Jan 2015","16 :01 :00","27203"
"16 Jan 2015","14 :02 :00","27425"
"16 Jan 2015","16 :02 :00","27515"
"19 Jan 2015","14 :01 :00","27755"
"19 Jan 2015","16 :04 :00","27745"
"20 Jan 2015","14 :02 :00","27880"
"20 Jan 2015","16 :01 :00","28033.5"
"21 Jan 2015","14 :02 :00","28230"
"21 Jan 2015","16 :01 :00","28176"
"22 Jan 2015","14 :07 :00","27852"
"22 Jan 2015","16 :06 :00","27908"
"23 Jan 2015","14 :03 :00","28040"
"23 Jan 2015","16 :01 :00","27983"
"27 Jan 2015","14 :03 :00","27665.5"
"27 Jan 2015","16 :01 :00","27700"
"28 Jan 2015","14 :04 :00","28200"
"28 Jan 2015","16 :01 :00","27900"
"29 Jan 2015","14 :06 :00","27775"
"29 Jan 2015","16 :03 :00","27790"
"30 Jan 2015","14 :01 :00","27625"
"30 Jan 2015","16 :04 :00","27640"
"02 Feb 2015","14 :01 :00","27881.5"
"02 Feb 2015","16 :02 :00","27870"
"03 Feb 2015","14 :05 :00","27950"
"03 Feb 2015","16 :02 :00","27912.5"
"04 Feb 2015","14 :03 :00","27725"
"04 Feb 2015","16 :01 :00","27700"
"05 Feb 2015","14 :01 :00","27794"
