"Date","Time","Price"
"05 Feb 2015","16 :02 :00","27630"
"06 Feb 2015","14 :12 :00","27730"
"06 Feb 2015","16 :15 :00","27675"
"09 Feb 2015","14 :03 :00","27380"
"09 Feb 2015","16 :02 :00","27300"
"10 Feb 2015","14 :01 :00","27300"
"10 Feb 2015","16 :02 :00","26852"
"11 Feb 2015","14 :02 :00","27000"
"11 Feb 2015","16 :01 :00","27350"
"12 Feb 2015","14 :04 :00","26995"
"12 Feb 2015","16 :04 :00","27000"
"13 Feb 2015","14 :01 :00","27125"
"13 Feb 2015","15 :58 :00","27100"
"16 Feb 2015","14 :01 :00","27175"
"16 Feb 2015","16 :05 :00","27189"
"18 Feb 2015","14 :04 :00","26865"
"18 Feb 2015","16 :05 :00","26680"
"19 Feb 2015","14 :02 :00","26780"
"19 Feb 2015","16 :03 :00","26800"
"20 Feb 2015","14 :00 :00","26700"
"20 Feb 2015","16 :03 :00","26600"
"23 Feb 2015","14 :01 :00","26500"
"23 Feb 2015","16 :05 :00","26400"
"24 Feb 2015","14 :02 :00","26600"
"24 Feb 2015","16 :00 :00","26450"
"25 Feb 2015","14 :00 :00","26570"
"25 Feb 2015","16 :02 :00","26540"
"26 Feb 2015","14 :01 :00","26600"
"26 Feb 2015","16 :04 :00","26575"
"27 Feb 2015","14 :03 :00","26342.5"
"27 Feb 2015","16 :01 :00","26350"
"28 Feb 2015","14 :02 :00","26560"
"28 Feb 2015","16 :09 :00","26580"
"02 Mar 2015","14 :03 :00","26809"
"02 Mar 2015","16 :02 :00","26800"
"03 Mar 2015","14 :01 :00","26525"
"03 Mar 2015","16 :01 :00","26550"
"04 Mar 2015","14 :01 :00","26500"
"04 Mar 2015","16 :00 :00","26510"
"05 Mar 2015","14 :02 :00","26535"
"05 Mar 2015","16 :04 :00","26580"
"09 Mar 2015","14 :02 :00","26125"
"09 Mar 2015","16 :02 :00","26112.5"
"10 Mar 2015","14 :03 :00","25845"
"10 Mar 2015","16 :02 :00","25900"
"11 Mar 2015","14 :02 :00","25925"
"11 Mar 2015","16 :03 :00","25870"
"12 Mar 2015","14 :07 :00","25790"
"12 Mar 2015","16 :05 :00","25800"
"13 Mar 2015","14 :04 :00","25850"
"13 Mar 2015","16 :03 :00","25812.5"
"16 Mar 2015","14 :05 :00","25910"
"16 Mar 2015","16 :10 :00","25915"
"17 Mar 2015","14 :09 :00","25807.5"
"17 Mar 2015","16 :02 :00","25712"
"18 Mar 2015","14 :03 :00","25531"
"18 Mar 2015","16 :04 :00","25607"
"19 Mar 2015","14 :02 :00","25900"
"19 Mar 2015","16 :07 :00","25857"
"20 Mar 2015","14 :04 :00","25974"
"20 Mar 2015","16 :01 :00","25920"
"23 Mar 2015","14 :03 :00","26050"
"23 Mar 2015","16 :02 :00","26100"
"24 Mar 2015","14 :07 :00","26150"
"24 Mar 2015","16 :05 :00","26200"
"25 Mar 2015","14 :03 :00","26250"
"25 Mar 2015","16 :03 :00","26260"
"26 Mar 2015","14 :05 :00","26874"
"26 Mar 2015","16 :02 :00","26847"
"27 Mar 2015","14 :02 :00","26500"
"27 Mar 2015","16 :02 :00","26600"
"30 Mar 2015","14 :03 :00","26355"
"30 Mar 2015","16 :05 :00","26322"
"31 Mar 2015","14 :03 :00","26287.5"
"31 Mar 2015","16 :05 :00","26203"
"01 Apr 2015","14 :01 :00","26200"
"01 Apr 2015","16 :03 :00","26200"
"06 Apr 2015","14 :01 :00","27008"
"06 Apr 2015","16 :02 :00","26875"
"07 Apr 2015","14 :03 :00","26884"
"07 Apr 2015","16 :05 :00","26850"
"08 Apr 2015","14 :04 :00","26880"
"08 Apr 2015","16 :06 :00","26708"
"09 Apr 2015","14 :04 :00","26450"
"09 Apr 2015","16 :17 :00","26564"
"10 Apr 2015","14 :04 :00","26700"
"10 Apr 2015","16 :02 :00","26550"
"13 Apr 2015","14 :01 :00","26703"
"13 Apr 2015","16 :02 :00","26695"
"15 Apr 2015","14 :03 :00","26340"
"15 Apr 2015","16 :02 :00","26413"
"16 Apr 2015","14 :03 :00","26700"
"16 Apr 2015","16 :02 :00","26800"
"17 Apr 2015","14 :08 :00","26732"
"17 Apr 2015","16 :02 :00","26795"
"20 Apr 2015","14 :00 :00","26958"
"20 Apr 2015","16 :10 :00","26725"
"21 Apr 2015","14 :02 :00","26610"
"21 Apr 2015","16 :01 :00","26695"
"22 Apr 2015","14 :02 :00","26750"
"22 Apr 2015","16 :03 :00","26760"
"23 Apr 2015","14 :03 :00","26738"
"23 Apr 2015","16 :03 :00","26758"
"24 Apr 2015","14 :09 :00","26876"
"24 Apr 2015","16 :08 :00","26780"
"27 Apr 2015","14 :01 :00","26740"
"27 Apr 2015","16 :03 :00","26752"
"28 Apr 2015","14 :02 :00","26966"
"28 Apr 2015","16 :02 :00","26925"
"29 Apr 2015","14 :03 :00","27000"
"29 Apr 2015","16 :02 :00","26995"
"30 Apr 2015","14 :03 :00","27285"
"30 Apr 2015","16 :01 :00","27100"
"05 May 2015","14 :11 :00","26740"
"05 May 2015","16 :03 :00","26765"
"06 May 2015","14 :05 :00","26900"
"06 May 2015","16 :02 :00","26905"
"07 May 2015","14 :01 :00","26880"
"07 May 2015","16 :01 :00","26983"
"08 May 2015","14 :00 :00","26900"
"08 May 2015","16 :01 :00","26915"
"11 May 2015","14 :02 :00","26843"
"11 May 2015","16 :02 :00","26896"
"12 May 2015","14 :01 :00","26940.5"
"12 May 2015","16 :02 :00","27130"
"13 May 2015","14 :05 :00","27094"
"13 May 2015","16 :02 :00","27130"
"14 May 2015","14 :03 :00","27477"
"14 May 2015","16 :07 :00","27450"
"15 May 2015","14 :02 :00","27372"
"15 May 2015","16 :04 :00","27311"
"18 May 2015","14 :02 :00","27580"
"18 May 2015","16 :03 :00","27650"
"19 May 2015","14 :01 :00","27409"
"19 May 2015","16 :04 :00","27450"
"20 May 2015","14 :01 :00","27200"
"21 May 2015","17 :09 :00","27214"
"22 May 2015","16 :58 :00","27203"
"25 May 2015","16 :57 :00","27049"
"26 May 2015","17 :02 :00","26971"
"27 May 2015","16 :58 :00","26784"
"28 May 2015","17 :12 :00","26808"
"29 May 2015","17 :00 :00","26776"
"01 Jun 2015","17 :24 :00","26662"
"02 Jun 2015","17 :18 :00","26768"
"03 Jun 2015","17 :36 :00","26837"
"04 Jun 2015","17 :01 :00","26826"
"05 Jun 2015","17 :10 :00","26483"
"08 Jun 2015","17 :22 :00","26603"
"09 Jun 2015","17 :00 :00","26651"
"10 Jun 2015","17 :00 :00","26734"
"11 Jun 2015","17 :03 :00","26572"
"12 Jun 2015","16 :58 :00","26666"
"15 Jun 2015","16 :52 :00","26574"
"16 Jun 2015","16 :58 :00","26752"
"17 Jun 2015","16 :59 :00","26667"
"18 Jun 2015","16 :53 :00","26914"
"19 Jun 2015","17 :03 :00","26895"
"22 Jun 2015","16 :55 :00","26666"
"23 Jun 2015","16 :56 :00","26440"
"24 Jun 2015","16 :57 :00","26366"
"25 Jun 2015","16 :55 :00","26297"
"26 Jun 2015","16 :52 :00","26284"
"29 Jun 2015","16 :55 :00","26524"
"30 Jun 2015","16 :55 :00","26320"
"01 Jul 2015","16 :53 :00","26251"
"02 Jul 2015","16 :54 :00","26028"
"03 Jul 2015","16 :56 :00","26074"
"06 Jul 2015","17 :04 :00","26081"
"07 Jul 2015","17 :04 :00","26005"
"08 Jul 2015","17 :03 :00","25934"
"09 Jul 2015","17 :02 :00","26023"
"10 Jul 2015","17 :00 :00","25966"
"13 Jul 2015","17 :09 :00","25861"
"14 Jul 2015","17 :02 :00","25827"
"15 Jul 2015","16 :59 :00","25816"
"16 Jul 2015","16 :54 :00","25664"
"17 Jul 2015","16 :58 :00","25688"
"20 Jul 2015","17 :13 :00","25069"
"21 Jul 2015","16 :59 :00","25023"
"22 Jul 2015","17 :03 :00","24736"
"23 Jul 2015","17 :01 :00","24964"
"24 Jul 2015","17 :01 :00","24473"
"27 Jul 2015","16 :57 :00","24757"
"28 Jul 2015","17 :08 :00","24765"
"29 Jul 2015","17 :00 :00","24780"
"30 Jul 2015","17 :18 :00","24640"
"31 Jul 2015","17 :04 :00","24492"
"03 Aug 2015","17 :00 :00","24722"
"04 Aug 2015","16 :59 :00","24706"
"05 Aug 2015","16 :57 :00","24569"
"06 Aug 2015","17 :10 :00","24519"
"07 Aug 2015","17 :05 :00","24626"
"10 Aug 2015","17 :03 :00","24716"
"11 Aug 2015","17 :04 :00","25144"
"12 Aug 2015","17 :02 :00","25542"
"13 Aug 2015","17 :03 :00","25565"
"14 Aug 2015","17 :08 :00","25700"
"17 Aug 2015","17 :05 :00","25721"
"18 Aug 2015","17 :03 :00","25815"
"19 Aug 2015","17 :02 :00","25832"
"20 Aug 2015","17 :08 :00","26198"
"21 Aug 2015","17 :05 :00","26813"
"24 Aug 2015","17 :12 :00","27032"
"25 Aug 2015","17 :05 :00","27026"
"26 Aug 2015","17 :10 :00","26417"
"27 Aug 2015","17 :09 :00","26307"
"28 Aug 2015","17 :02 :00","26335"
"31 Aug 2015","17 :09 :00","26448"
"01 Sep 2015","17 :07 :00","26649"
"02 Sep 2015","16 :58 :00","26596"
"03 Sep 2015","17 :07 :00","26281"
"04 Sep 2015","17 :05 :00","26331"
"07 Sep 2015","17 :04 :00","26369"
"08 Sep 2015","17 :07 :00","26341"
"09 Sep 2015","17 :08 :00","26134"
"10 Sep 2015","17 :27 :00","25992"
"11 Sep 2015","17 :15 :00","25880"
"14 Sep 2015","17 :13 :00","25875"
"15 Sep 2015","17 :14 :00","25898"
"16 Sep 2015","17 :12 :00","25915"
"18 Sep 2015","17 :18 :00","26332"
"21 Sep 2015","17 :16 :00","26238"
"22 Sep 2015","17 :13 :00","26023"
"23 Sep 2015","17 :12 :00","26105"
"24 Sep 2015","17 :13 :00","26357"
"28 Sep 2015","17 :15 :00","26261"
"29 Sep 2015","17 :11 :00","26203"
"30 Sep 2015","17 :20 :00","25950"
"01 Oct 2015","17 :06 :00","25756"
"05 Oct 2015","17 :12 :00","26005"
"06 Oct 2015","17 :05 :00","26187"
"07 Oct 2015","17 :07 :00","26410"
"08 Oct 2015","17 :07 :00","26217"
"09 Oct 2015","17 :06 :00","26299"
"12 Oct 2015","17 :07 :00","26505"
"13 Oct 2015","17 :10 :00","26386"
"14 Oct 2015","17 :07 :00","26732"
"15 Oct 2015","17 :06 :00","26936"
"16 Oct 2015","17 :08 :00","26930"
"19 Oct 2015","17 :11 :00","26707"
"20 Oct 2015","17 :04 :00","26817"
"21 Oct 2015","17 :19 :00","26915"
"23 Oct 2015","17 :11 :00","26814"
"26 Oct 2015","17 :12 :00","26656"
"27 Oct 2015","17 :23 :00","26613"
"28 Oct 2015","17 :15 :00","26769"
"29 Oct 2015","17 :10 :00","26540"
"30 Oct 2015","17 :14 :00","26399"
"02 Nov 2015","17 :12 :00","26280"
"03 Nov 2015","17 :22 :00","26139"
"04 Nov 2015","17 :07 :00","25898"
"05 Nov 2015","17 :14 :00","25726"
"06 Nov 2015","17 :11 :00","25821"
"09 Nov 2015","17 :09 :00","25664"
"10 Nov 2015","17 :11 :00","25655"
"13 Nov 2015","17 :43 :00","25476"
"16 Nov 2015","17 :17 :00","25550"
"17 Nov 2015","17 :16 :00","25252"
"18 Nov 2015","17 :11 :00","25086"
"19 Nov 2015","17 :13 :00","25149"
"20 Nov 2015","17 :17 :00","25404"
"23 Nov 2015","17 :14 :00","25159"
"24 Nov 2015","17 :20 :00","25325"
"26 Nov 2015","17 :09 :00","25313"
"27 Nov 2015","17 :03 :00","25200"
"30 Nov 2015","17 :11 :00","25067"
"01 Dec 2015","17 :23 :00","25153"
"02 Dec 2015","17 :10 :00","25144"
"03 Dec 2015","17 :10 :00","24825"
"04 Dec 2015","17 :12 :00","25116"
"07 Dec 2015","17 :11 :00","25476"
"08 Dec 2015","17 :09 :00","25311"
"09 Dec 2015","17 :06 :00","25412"
"10 Dec 2015","17 :09 :00","25287"
"11 Dec 2015","17 :08 :00","25115"
"14 Dec 2015","17 :11 :00","25298"
"15 Dec 2015","17 :12 :00","25203"
"16 Dec 2015","17 :07 :00","25167"
"17 Dec 2015","17 :08 :00","25153"
"18 Dec 2015","17 :10 :00","24872"
