"Date","Time","Price"
"02 Nov 2016","17 :09 :00","30523"
"03 Nov 2016","17 :14 :00","30339"
"04 Nov 2016","17 :11 :00","30588"
"07 Nov 2016","17 :18 :00","30324"
"08 Nov 2016","17 :11 :00","30261"
"09 Nov 2016","17 :14 :00","30875"
"10 Nov 2016","17 :17 :00","30125"
"11 Nov 2016","17 :15 :00","29911"
"15 Nov 2016","17 :11 :00","29658"
"16 Nov 2016","17 :22 :00","29369"
"17 Nov 2016","17 :19 :00","29530"
"18 Nov 2016","17 :16 :00","29106"
"21 Nov 2016","17 :13 :00","29322"
"22 Nov 2016","17 :21 :00","29356"
"23 Nov 2016","17 :18 :00","29324"
"24 Nov 2016","17 :13 :00","28906"
"25 Nov 2016","17 :12 :00","28789"
"28 Nov 2016","17 :16 :00","28932"
"29 Nov 2016","17 :12 :00","28850"
"30 Nov 2016","17 :12 :00","28813"
"01 Dec 2016","17 :17 :00","28217"
